image,name,cost,text,set,rarity,type,supertype,subtype,subtype2
 ANCIANA-MAESTRA,ANCIANA MAESTRA,5,Aparición en juego: Pon en el campo de batalla hasta dos cartas de bruja objetivo de tu descarte con dos contadores +1/+1. Ganan Frenesí hasta el final del turno.,PACTO SECRETO,DIAMANTE,UNIDAD,-,BRUJA,-
 ANTIGUO-APRENDIZ-DE-KYLE-COPIA,ANTIGUO APRENDIZ DE KYLE,2,Curar. Aparición en juego: Condena otra unidad objetivo. Regrésala al campo de inicio de la próxima fase final.,TRONO COMPARTIDO,PLATA,UNIDAD,-,MONJE,-
 ARACNOBAJO-COPIA,ARACNOBAJO,2,"Envenena (Siempre que haga daño a otra unidad, la envenena).",TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,-
 ARBOL-ANCIANO,ARBOL ANCIANO,5,"Indestructible. Siempre que otra unidad entre al campo de batalla bajo tu control, convierte esa unidad en un elemental 5/5 con todas sus habilidades.",PACTO SECRETO,DIAMANTE,UNIDAD,-,ELEMENTAL,-
 ARBOL-DE-SALVIA-VIGORIZANTE-COPIA,ARBOL DE SALVIA VIGORIZANTE,3,"Una vez por turno, puedes erosionar para que los insectos aliados ganen +1/+0 y Envenena hasta el final del turno. Erosión 2.",TRONO COMPARTIDO,BRONCE,MONUMENTO,-,INSECTO,-
 ARLEQUIN-DE-LA-CORONA,ARLEQUIN DE LA CORONA,2,(Esta carta es todos los subtipos de unidad en todo momento). Aparición en juego: Elige 1: - El jugador objetivo descarta una carta. - Roba una carta.,PACTO SECRETO,PLATA,UNIDAD,-,MIMETICO,-
 ASESINO-CONTRATADO,ASESINO CONTRATADO,1,Frenesí. (Esta unidad puede atacar el mismo turno que entra bajo tu control).,FUNDAMENTOS,BRONCE,UNIDAD,-,DESERTOR,-
 ASESINO-DE-ALMAS-COPIA,ASESINO DE ALMAS,4,"Arrollar. Aparición en juego: La unidad rival objetivo gana -X/-X hasta el final del turno, siendo X la cantidad de cartas de unidad demonio en tu Averno.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 ASESINO-DE-LOS-MARES,ASESINO DE LOS MARES,2,"Aparición en juego: Si un oponente recibió daño este turno, ese oponente descarta  una carta.",PACTO SECRETO,BRONCE,UNIDAD,-,PIRATA,-
 ATRAPACUERPOS-COPIA,ATRAPACUERPOS,2,Atracción. Envenena.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,-
 AUGUSTUS-CONSPIRADOR,"AUGUSTUS, CONSPIRADOR",3,"Al principio de tu turno, puedes poner las primeras cinco cartas de tu Reino en el averno para hacer 2 puntos de daño a cualquier objetivo.",PACTO SECRETO,ORO,UNIDAD,REALEZA,SOLDADO,SOLDADO
 AUGUSTUS-EL-HEREDERO,"AUGUSTUS, EL HEREDERO",4,"Aparición en juego: Ganas 1 vida por cada soldado que controlas. Busca a ""Maximus, el general"" en tu Reino y ponlo en tu mano.",FUNDAMENTOS,PLATA,UNIDAD,REALEZA,SOLDADO,-
 AUGUSTUS-TRONO-COMPARTIDO-COPIA,"AUGUSTUS, TRONO COMPARTIDO",3,"Aparición en juego: Puedes pagar 1 oro. Si lo haces, destruye el desertor o monje objetivo de coste 3 o menos.",TRONO COMPARTIDO,PLATA,UNIDAD,REALEZA,SOLDADO,-
 AURA-LLAMEANTE,AURA LLAMEANTE,2,Derrotado: Busca en tu Reino una carta de acción de coste 2 o menos y ponla en tu mano.,PACTO SECRETO,PLATA,UNIDAD,-,ELEMENTAL,-
 AVE-MAJESTUOSA,AVE MAJESTUOSA,2,Evasión. (Esta unidad solo puede ser bloqueada por unidades con Evasión o Vigía).,PACTO SECRETO,BRONCE,UNIDAD,-,ANIMAL,-
 Mesa-de-trabajo-1,"AZAHARA, LIDER DE LA GUARDIA",2,Frenesí. Destruye esta unidad al final de tu turno.,FUNDAMENTOS,PLATA,UNIDAD,-,DESERTOR,-
 AZOTE-DE-LOS-MARES,AZOTE DE LOS MARES,2,"Siempre que un oponente descarte una carta, ese jugador pierde 2 vidas.",PACTO SECRETO,PLATA,UNIDAD,-,PIRATA,-
 BALANZA-DE-CADAVERES,BALANZA DE CADAVERES,4,Destruye todas las unidades.,PACTO SECRETO,ORO,ACCION,-,RAPIDA,-
 BANQUETE-FRUSTRADO-COPIA,BANQUETE FRUSTRADO,3,Envenena todas las unidades.,TRONO COMPARTIDO,ORO,ACCION,-,-,-
 BENDICION-DE-LA-REINA,BENDICION DE LA REINA,0,Agotar: Ganas 2 vidas.,PACTO SECRETO,ORO,TESORO,-,SAGRADO,-
 BENDICION-DEL-ANGEL,BENDICION DEL ANGEL,0,Aparición en juego: Roba una carta.,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 BIENVENIDO-AL-AVERNO-COPIA,BIENVENIDO AL AVERNO,3,Condena la unidad objetivo (Envía la unidad al Averno).,TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,-
 BLOQUEO-COMERCIAL,BLOQUEO COMERCIAL,0,"Agotar: Durante el próximo turno del jugador objetivo, su primera orden de unidad cuesta 1 más.",PACTO SECRETO,ORO,TESORO,-,SAGRADO,-
 Mesa-de-trabajo-9,BOLA DE FUEGO,2,Hace 2 puntos de daño a cualquier objetivo.,FUNDAMENTOS,BRONCE,ACCION,-,RAPIDA,-
 BRISA-DANZANTE,BRISA DANZANTE,1,Evasión. (Esta unidad solo puede ser bloqueada por unidades con Evasión o Vigía). Derrotado: Ganas 3 vidas.,PACTO SECRETO,BRONCE,UNIDAD,-,ELEMENTAL,-
 BUSCANDO-A-LA-LIEBRE,BUSCANDO A LA LIEBRE,0,Destruir: Busca en tu Reino una carta de animal de coste 2 o menos y ponla en tu mano.,PACTO SECRETO,PLATA,TESORO,-,SAGRADO,-
 CABALLERIA-REAL,CABALLERIA REAL,4,"Frenesí. Siempre que esta unidad ataque, las unidades que controlas ganan +1/+0 hasta el final del turno.",FUNDAMENTOS,PLATA,UNIDAD,-,SOLDADO,-
 CABALLERIZA-FUGAZ,CABALLERIZA FUGAZ,2,"Destruir: Las unidades que controlas ganan Frenesí, Arrollar e Indestructible hasta el final de turno.",PACTO SECRETO,DIAMANTE,MONUMENTO,-,-,-
 CACERIA-DE-BRUJAS,CACERIA DE BRUJAS,0,Aparición en juego: El jugador objetivo muestra su mano. Elige una carta. Ese jugador descarta esa carta.,FUNDAMENTOS,PLATA,TESORO,-,COMUN,-
 CADENAS-ROTAS-COPIA,CADENAS ROTAS,0,Destruir: Puedes jugar la carta de unidad objetivo de tu Averno este turno.,TRONO COMPARTIDO,PLATA,TESORO,-,SAGRADO,-
 CAIDA-DEL-REINO,CAIDA DEL REINO,5,Las unidades del jugador objetivo ganan -3/-3 hasta el final del turno.,PACTO SECRETO,PLATA,ACCION,-,RAPIDA,-
 CAIDO-EN-BATALLA,CAIDO EN BATALLA,2,Destruye la unidad objetivo.,FUNDAMENTOS,PLATA,ACCION,-,RAPIDA,-
 CALAM-EL-TIRA-PIEDRAS,"CALAM, EL TIRA PIEDRAS",2,Aparición en juego: Hace 2 puntos de daño a la unidad objetivo.,PACTO SECRETO,BRONCE,UNIDAD,-,DESERTOR,-
 CALDERO-NEGRO,CALDERO NEGRO,3,Hace 2 puntos de daño a cualquier objetivo por cada carta de bruja en tu descarte.,PACTO SECRETO,DIAMANTE,ACCION,-,COMUN,-
 CALI-LA-GRIMORISTA,"CALI, LA GRIMORISTA",3,"Al principio de tu fase final, si controlas otra bruja, puedes perder 1 vida y robar una carta.",PACTO SECRETO,PLATA,UNIDAD,-,BRUJA,-
 CAMPO-DE-ENTRENAMIENTO,CAMPO DE ENTRENAMIENTO,3," Una vez por turno, puedes erosionar para que las unidades que controlas ganen +1/+1 hasta el final del turno. Erosión 3.",PACTO SECRETO,BRONCE,MONUMENTO,-,-,-
 CANCELACION,CANCELACION,1,Cancela el efecto en juego objetivo.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 CAOS-EN-BERIN-COPIA,CAOS EN BERIN,4,"Elige 2: -Crea dos fichas demonio 2/2. -El jugador objetivo condena una carta de su mano. -Si controlas un demonio, interrumpe la orden de acción de coste 3 o menos. -Sentencia la unidad objetivo.",TRONO COMPARTIDO,PLATA,ACCION,-,RAPIDA,DEMONIO
 CAPULLO-DE-ARBOL-INFESTADO-COPIA,CAPULLO DE ARBOL INFESTADO,0,"Aparición en juego: Crea una ficha insecto 1/1 con ""Derrotado: Envenena la unidad objetivo"".",TRONO COMPARTIDO,PLATA,TESORO,-,COMUN,-
 CAPULLO-DESCONOCIDO-COPIA,CAPULLO DESCONOCIDO,1,Derrotado: Crea una ficha insecto 3/2.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,-
 CARCELERO,CARCELERO,2,Derrotado: Hace 1 punto de daño al jugador objetivo.,FUNDAMENTOS,BRONCE,UNIDAD,-,DESERTOR,-
 CARNADA-DE-TIBURONES,CARNADA DE TIBURONES,1,Derrotado: Crea una ficha animal 2/2.,PACTO SECRETO,BRONCE,UNIDAD,-,PIRATA,-
 CARNE-EXPLOSIVA,CARNE EXPLOSIVA,1,"Siempre que esta unidad reciba daño de combate de otra unidad, destruye ambas unidades.",PACTO SECRETO,BRONCE,UNIDAD,-,PIRATA,-
 CARNE-FRESCA,CARNE FRESCA,2, Los animales que controlas ganan +1/+1 hasta el final del turno.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 CARTA-DE-CONDENA-COPIA,CARTA DE CONDENA,0,"Aparición en juego: Puedes condenar una carta de tu mano. Si lo haces, cada oponente condena una carta de su mano.",TRONO COMPARTIDO,ORO,TESORO,-,COMUN,-
 CASCABUFALO-COPIA,CASCABUFALO,1,Destruir: Cancela el efecto en juego objetivo. Derrotado: Drena 1.,TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,ANIMAL
 CASCADA-DE-LA-SABIDURIA,CASCADA DE LA SABIDURIA,2,"Si controlas al menos dos unidades soldado o animal, una vez durante tu turno, puedes erosionar para robar una carta. Erosión 2.",PACTO SECRETO,PLATA,MONUMENTO,-,-,-
 CASCARABAJO-VOLADOR-COPIA,CASCARABAJO VOLADOR,3,"Evasión. Aparición en juego: Envenena otra unidad objetivo. Siempre que otro insecto aliado muera, Drena 1.",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,-
 CASTIGO-MALDITO-COPIA,CASTIGO MALDITO,1,"(Como coste adicional, pierdes 2 vidas). La unidad objetivo gana -X/-X hasta el final del turno, siendo X la cantidad de vidas que has perdido este turno.",TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,-
 Centinela-del-castillo-copia,CENTINELA DEL CASTILLO,3,"Vigía. Siempre que bloquee a una unidad con Evasión, esta unidad gana +0/+1 hasta el final del turno.",PACTO SECRETO,BRONCE,UNIDAD,-,SOLDADO,-
 CENTINELA-DEL-PALACIO,CENTINELA DEL PALACIO,3,Frenesí. (Esta unidad puede atacar el mismo turno que entra bajo tu control).,FUNDAMENTOS,BRONCE,UNIDAD,-,DESERTOR,-
 CERRANDO-PORTALES-COPIA,CERRANDO PORTALES,3,Interrumpe la orden objetivo. Predicción 2.,TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,-
 CIUDAD-EN-LLAMAS,CIUDAD EN LLAMAS,3,Hace 4 puntos de daño al jugador objetivo y 2 puntos de daño a las unidades que controla.,FUNDAMENTOS,ORO,ACCION,-,RAPIDA,-
 COCRONGOSTA-COPIA,COCRONGOSTA,2,"Aparición en juego: Puedes destruir otro insecto aliado objetivo. Si lo haces, Drena 2.",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,-
 COLMILLO-DE-PLATA-COPIA,COLMILLO DE PLATA,1,"Siempre que otro animal aliado entre al campo, esta unidad gana +1/+1 hasta el final del turno. Si es la segunda vez que esta habilidad resuelve este turno, gana un contador +1/+1 en su lugar.",TRONO COMPARTIDO,PLATA,UNIDAD,-,ANIMAL,-
 COMANDANTE-AIXA,COMANDANTE AIXA,2,Frenesí. Temible. Aparición en juego: Los otros soldados que controlas ganan +1/+1 hasta el final del turno.,PACTO SECRETO,DIAMANTE,UNIDAD,REALEZA,SOLDADO,-
 COMANDANTE-CONDENADO-COPIA,COMANDANTE CONDENADO,2,"Los otros demonios aliados ganan +1/+1. Siempre que ataques, la unidad rival objetivo gana -X/-X hasta el final del turno, siendo X la cantidad de unidades atacantes.",TRONO COMPARTIDO,PLATA,UNIDAD,-,SOLDADO,DEMONIO
 CONSTRUCTOR-DE-ALTARES-COPIA,CONSTRUCTOR DE ALTARES,1,"Aparición en juego: Crea una ficha de monumento con ""Erosionar: Ganas 2 vidas."" y ""Erosión 1"".",TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,-
 CONTRABANDISTA,CONTRABANDISTA,2,Aparición en juego: Roba una carta.,PACTO SECRETO,BRONCE,UNIDAD,-,DESERTOR,-
 CORREDOR-DE-LOS-BOSQUES,CORREDOR DE LOS BOSQUES,2,"Siempre que un Corredor de los  bosques entre al campo de batalla bajo tu control, crea una ficha animal 1/1.",PACTO SECRETO,PLATA,UNIDAD,-,ANIMAL,-
 CREADORA-DE-TORMENTAS,CREADORA DE TORMENTAS,2,"Siempre que otro elemental entre al campo de batalla bajo tu control, roba una carta.",PACTO SECRETO,ORO,UNIDAD,-,ELEMENTAL,-
 CRIADERO-DE-MADERA-COPIA,CRIADERO DE MADERA,2,"Crea dos fichas insecto 1/1 con ""Derrotado: Envenena la unidad objetivo"".",TRONO COMPARTIDO,PLATA,ACCION,-,RAPIDA,INSECTO
 CRIATURA-DE-LA-AVANZADA-COPIA,CRIATURA DE LA AVANZADA,2,"(Como coste adicional, pierdes 2 vidas). Puede ser jugado desde el Averno.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 CUMULO-DE-HONGOS-COPIA,CUMULO DE HONGOS,1,"Aparición en juego: Crea una ficha insecto 1/1 con ""Derrotado: Envenena la unidad objetivo"". 1 de oro y Destruir: Drena 1.",TRONO COMPARTIDO,BRONCE,MONUMENTO,-,-,-
 CURANDERA-DE-LA-ALIANZA,CURANDERA DE LA ALIANZA,2,"Una vez durante tu turno, puedes descartar una carta para ganar 2 vidas.",PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,-
 DANA-MEDICA-BRUJA,"DANA, MEDICA BRUJA",2,"Siempre que juegues una carta de  acción o unidad, ganas 1 vida.",PACTO SECRETO,BRONCE,UNIDAD,-,BRUJA,SOLDADO
 DEMONIO-MEJOR-COPIA,DEMONIO MENOR,2,Aparición en juego: Cada jugador pierde 2 vidas. Derrotado: Condena esta unidad.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 DESECHOS-DE-LA-BRUJULA-PIRATA-COPIA,DESECHOS DE LA BRUJULA PIRATA,0,"Agotar: Hasta el final del turno, si un jugador fuera a buscar cartas en su Reino, busca en las primeras cinco cartas en su lugar.",TRONO COMPARTIDO,PLATA,TESORO,-,COMUN,-
 DEVORADOR-DE-ALMAS-COPIA,DEVORADOR DE ALMAS,1,Aparición en juego: El jugador objetivo condena dos cartas de su Reino.,TRONO COMPARTIDO,BRONCE,UNIDAD,-,DEMONIO,-
 DICTADO-EQUITATIVO-COPIA,DICTADO EQUITATIVO,2,"Cada jugador condena una carta de su mano. Crea una ficha demonio 0/3 con ""Derrotado: Roba un carta"".",TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,DEMONIO
 DISCIPULO-CONVERTIDO-COPIA,DISCIPULO CONVERTIDO,2,"Cuando fueras a perder vidas por una orden o efecto que controlas, ganas esa cantidad de vidas en su lugar.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,MONJE,DEMONIO
 DISCURSO-DEL-REY,DISCURSO DEL REY,1,Mueve la unidad objetivo a la zona de formación.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 DOJO-DE-ENTRENAMIENTO-COPIA,DOJO DE ENTRENAMIENTO,2,Puedes erosionar para poner un contador +1/+1 en la unidad aliada que entró al campo este turno. Activa esta habilidad solo una vez por turno. Erosión 3.,TRONO COMPARTIDO,BRONCE,MONUMENTO,-,-,-
 DORIAN-MAULLIDO-INFERNAL-COPIA,"DORIAN, MAULLIDO INFERNAL",5,"Sorpresivo. Aparición en juego: Condena tres cartas de tu Reino. Siempre que condenes una carta de unidad de tu Reino, puedes pagar 2 vidas. Si lo haces, crea una ficha demonio 2/2. Gana +1/+1 y Frenesí hasta el final del turno.",TRONO COMPARTIDO,PLATA,UNIDAD,-,DEMONIO,ANIMAL
 DRAKE-EL-VETERANO,"DRAKE, EL VETERANO",4,"Hurto. Siempre que un pirata entre al campo de batalla bajo tu control, el jugador objetivo descarta una carta. Esta habilidad dispara solo una vez por turno.",PACTO SECRETO,PLATA,UNIDAD,-,PIRATA,-
 DUELO-DE-ESPADAS,DUELO DE ESPADAS,2,La unidad objetivo que controlas lucha con la unidad objetivo que no controlas.,FUNDAMENTOS,PLATA,ACCION,-,RAPIDA,-
 EJECUCION,EJECUCION,0,Destruir: Destruye la unidad objetivo.,FUNDAMENTOS,PLATA,TESORO,-,COMUN,-
 EL-GURRANO-LEYENDA-DE-HAMRRA-COPIA,"EL GARRUANO, LEYENDA DE HAMRRA",6,Dureza. Cuesta 1 oro menos por cada insecto aliado. El coste no puede ser menor que 1.,TRONO COMPARTIDO,ORO,UNIDAD,-,INSECTO,-
 EL-MAESTRO,EL MAESTRO,2,Arrollar. Frenesí. Aparición en juego: Hace 1 punto de daño a las unidades que no controlas.,FUNDAMENTOS,ORO,UNIDAD,-,DESERTOR,-
 EL-OJO-QUE-TODO-LO-VE,EL OJO QUE TODO LO VE,0,"Aparición en juego: Mira las primeras tres cartas de tu Reino, luego pon una en tu mano y el resto en el fondo. Destruir: Mezcla este tesoro en tu Bóveda.",FUNDAMENTOS,PLATA,TESORO,-,COMUN,-
 ELI-PEQUE-A-MASCOTA,"ELI, PEQUEÑA MASCOTA",3,"Arrollar. Aparición en juego: Si controlas dos o más desertores, gana dos contadores +1/+1.",PACTO SECRETO,BRONCE,UNIDAD,-,ANIMAL,-
 EMBOSCADA-DE-LA-MANADA-COPIA,EMBOSCADA DE LA MANADA,1,Derrotado: La unidad aliada objetivo lucha con la unidad rival objetivo. (Las unidades que luchan hacen daño a la otra igual a su fuerza).,TRONO COMPARTIDO,BRONCE,UNIDAD,-,ANIMAL,-
 ENTERRADOS-JUNTOS-COPIA,ENTERRADOS JUNTOS,1,"(Como coste adicional, destruye una unidad aliada). Destruye la unidad objetivo.",TRONO COMPARTIDO,BRONCE,ACCION,-,BRUJA,-
 ERODON-CAPITAN-DEL-OJO-COPIA,"ERODON, CAPITAN DEL OJO",4,"Aparición en juego: Crea dos fichas de monumento con ""Erosionar: Ganas 2 vidas"" y ""Erosión 1"". Siempre que ganes vidas, hace esa misma cantidad de daño a la unidad rival objetivo. Esta habilidad dispara solo una vez por turno. ",TRONO COMPARTIDO,DIAMANTE,UNIDAD,REALEZA,DESERTOR,MONJE
 ERODON-MONJE-GENERAL,"ERODON, MONJE GENERAL",3,Aparición en juego y Derrotado: Crea una ficha tesoro en tu reserva con “Agotar: Genera 1 Oro y destruye este tesoro”.,PACTO SECRETO,ORO,UNIDAD,-,SOLDADO,-
 ERRANTE-DEL-DESIERTO,ERRANTE DEL DESIERTO,2,Fantasmal. (Esta unidad solo puede ser bloqueada por unidades con Fantasmal).,PACTO SECRETO,BRONCE,UNIDAD,-,DESERTOR,-
 ESCARANTULA-COPIA,ESCARANTULA,2,"Aparición en juego: Crea una ficha insecto 1/1 con ""Derrotado: Envenena la unidad objetivo"".",TRONO COMPARTIDO,PLATA,UNIDAD,-,INSECTO,-
 ESCORNOGUZANO-COPIA,ESCORNOGUZANO,5,"Aparición en juego: Puedes destruir hasta tres unidades aliadas. Si lo haces, Drena 1 por cada una.",TRONO COMPARTIDO,BRONCE,UNIDAD,-,INSECTO,-
 ESENCIA-ANIMAL-COPIA,ESENCIA ANIMAL,5,"Aparición en juego y siempre que se descarte por una orden o efecto rival: Crea dos fichas animal 1/1 y ganas 2 vidas. Si una orden o efecto rival pudiera elegir descartar esta carta, debe descartar esta carta.",TRONO COMPARTIDO,PLATA,UNIDAD,-,ELEMENTAL,ANIMAL
 ESMERALDA-MAGICA,ESMERALDA MAGICA,0,"Aparición en juego: Si controlas al menos una unidad bruja o elemental, busca en tu Reino una carta de unidad de coste 2 o menos del mismo subtipo y ponla en tu mano.",PACTO SECRETO,ORO,TESORO,-,SAGRADO,-
 ESPIRITU-ANIMAL,ESPIRITU ANIMAL,3,Aparición en juego: Busca en tu Reino una carta de animal de coste 3 o menos y ponla en tu mano. Los animales que controlas ganan +1/+1.,PACTO SECRETO,ORO,UNIDAD,-,BRUJA,-
 ESPIRITU-DEL-VIENTO-COPIA,ESPIRITU DEL VIENTO,4,Aparición en juego: Crea una ficha espíritu 5/5 con Arrollar.,TRONO COMPARTIDO,ORO,UNIDAD,-,ELEMENTAL,-
 ESPIRITU-MARINO,ESPIRITU MARINO,3,"Siempre que otra unidad que no sea ficha que controlas muera, o descartes una carta de unidad, crea una ficha elemental 2/2.",PACTO SECRETO,ORO,UNIDAD,REALEZA,BRUJA,-
 ESPIRITU_MINERAL_COPIA,ESPIRITU MINERAL,3,"Aparición en juego: Naturaliza el tesoro objetivo mientras controles esta unidad. Los elementales aliados ganan ""Resguardo: 1 oro"".",TRONO COMPARTIDO,BRONCE,UNIDAD,-,ELEMENTAL,-
 ESTATUA_DEL_ANGEL_PROMETIDO_COPIA,ESTATUA DEL ANGEL PROMETIDO,0,"Siempre que ganes vidas, puedes poner un contador de invocación sobre este tesoro. Cuando tengas tres, destrúyelo para crear una ficha ángel 3/3 con Evasión.",TRONO COMPARTIDO,ORO,TESORO,-,SAGRADO,-
 ENBOSCADA-DEMONIACA-COPIA,ESTOCADA DEMONIACA,1,"Hace 2 daños a la unidad objetivo. Si fuera a morir, condénala en su lugar.",TRONO COMPARTIDO,BRONCE,ACCION,-,RAPIDA,-
 ESTUDIANTE_DE_MALDICIONES_COPIA,ESTUDIANTE DE MALDICIONES,2,"Derrotado: Si controlas un monje, Predicción 2. Siempre que otra unidad entra al campo, pacifícala. Esta habilidad dispara solo una vez por turno.",TRONO COMPARTIDO,PLATA,UNIDAD,REALEZA,BRUJA,MONJE
 ETER_RENACIENTE_COPIA,ETER RENACIENTE,3,"Entra al campo con X contadores +1/+1, siendo X la cantidad de vidas que ganaste este turno.",TRONO COMPARTIDO,ORO,UNIDAD,-,MONJE,ELEMENTAL
 FAJID-REY-DESERTOR,"FAJID, REY DESERTOR",4,"Arrollar. Frenesí. Aparición en juego: Hace 3 puntos de daño a las unidades que no controlas, luego hace 2 puntos de daño al jugador objetivo por cada unidad que murió por esta habilidad.",FUNDAMENTOS,DIAMANTE,UNIDAD,REALEZA,DESERTOR,-
 FANATICO-DEL-ORO,FANATICO DEL ORO,2,"Una vez durante tu turno, puedes 1 de Oro: Elige 1: - El jugador objetivo descarta una carta. - Hace 2 puntos de daño al jugador objetivo.",PACTO SECRETO,PLATA,UNIDAD,-,DESERTOR,PIRATA
 FELINO-DE-LA-MONTA-A,FELINO DE LA MONTAÑA,2,Sorpresivo. Aparición en juego: Pon dos contadores +1/+1 repartidos entre una o dos unidades objetivo.,PACTO SECRETO,ORO,UNIDAD,-,ANIMAL,-
 FERVOR-DE-LA-BATALLA,FERVOR DE LA BATALLA,0,Agotar: La unidad objetivo gana Frenesí hasta el final del turno.,PACTO SECRETO,PLATA,TESORO,-,COMUN,-
 FLOR_DE_HIEDRA_VENENOSA_COPIA,FLOR DE HIEDRA VENENOSA,0,Agotar: Pon un contador -1/-1 sobre la unidad objetivo.,TRONO COMPARTIDO,ORO,TESORO,-,COMUN,-
 FOSA-DE-LA-CREACION,FOSA DE LA CREACION,3,Destruye una bruja que controlas. Busca en tu Reino una carta de unidad bruja de coste 3 o menos y juégala sin pagar su coste. Esa unidad gana un contador +1/+1.,PACTO SECRETO,ORO,ACCION,-,COMUN,-
 FRENTE-DE-ATAQUE,FRENTE DE ATAQUE,1,Dureza. (Esta unidad recibe 1 punto menos de daño de cualquier fuente durante la fase de combate).,FUNDAMENTOS,BRONCE,UNIDAD,-,SOLDADO,-
 FRUTA-FRESCA,FRUTA FRESCA,0,Aparición en juego: Ganas 3 vidas.,FUNDAMENTOS,BRONCE,TESORO,-,COMUN,-
 FUEGO-A-DISCRECION,FUEGO A DISCRECION,0,Agotar: Hace 2 puntos de daño al jugador objetivo.,FUNDAMENTOS,ORO,TESORO,-,SAGRADO,-
 FUEGO_RITUAL_COPIA,FUEGO RITUAL,0,"Aparición en juego: Reaparece hasta una unidad aliada objetivo. (Envía la unidad al Averno, luego regrésala al campo bajo el control del propietario).",TRONO COMPARTIDO,ORO,TESORO,-,COMUN,-
 FUENTE-DE-LOS-ETERNOS,FUENTE DE LOS ETERNOS,2, Una vez por turno puedes  erosionar para ganar 2 vidas. Erosión 3.,PACTO SECRETO,BRONCE,MONUMENTO,-,-,-
